2021. 01,2021. 01,2021. 02,2021. 02,2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05,2021. 06,2021. 06,2021. 07,2021. 07,2021. 08,2021. 08,2021. 09,2021. 09,2021. 10,2021. 10,2021. 11,2021. 11,2021. 12,2021. 12
강수량 (㎜),강수일수 (일),강수량 (㎜),강수일수 (일),강수량 (㎜),강수일수 (일),강수량 (㎜),강수일수 (일),강수량 (㎜),강수일수 (일),강수량 (㎜),강수일수 (일),강수량 (㎜),강수일수 (일),강수량 (㎜),강수일수 (일),강수량 (㎜),강수일수 (일),강수량 (㎜),강수일수 (일),강수량 (㎜),강수일수 (일),강수량 (㎜),강수일수 (일)
18.9,9,7.1,5,110.9,9,124.1,9,183.1,17,104.6,13,168.3,8,211.2,13,131.0,8,57.0,11,62.4,6,7.9
