성별(1),성별(2),2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
성별(1),성별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
성별(1),성별(2),소계,O형,A형,B형,AB형,소계,O형,A형,B형,AB형,소계,O형,A형,B형,AB형
합계,소계,725625,202286,245740,194348,83251,644113,178509,219473,171526,74605,623425,173373,211708,165225,73119
합계,남자,529435,146389,180754,141355,60937,473345,129662,162838,125850,54995,455826,125364,156185,120579,53698
합계,여자,196190,55897,64986,52993,22314,170768,48847,56635,45676,19610,167599,48009,55523,44646,19421
